epoch,training_loss,s1_loss,s2_loss
1,15.480704307556152,7.689754962921143,7.79094934463501
2,15.483936309814453,7.714956283569336,7.768980503082275
3,15.449445724487305,7.6558074951171875,7.793638229370117
4,15.387551307678223,7.695215702056885,7.692335605621338
5,15.405548095703125,7.684677600860596,7.7208709716796875
6,15.4762544631958,7.72843599319458,7.747818470001221
7,15.393497467041016,7.6816205978393555,7.711877346038818
8,15.512462615966797,7.6889214515686035,7.823541164398193
9,15.418988227844238,7.643258571624756,7.775729656219482
10,15.420520782470703,7.661684513092041,7.758835792541504
11,15.430103302001953,7.689753532409668,7.740350246429443
12,15.284686088562012,7.642175674438477,7.642510414123535
13,15.335528373718262,7.610108852386475,7.725419521331787
14,15.422106742858887,7.699172019958496,7.722934722900391
15,15.441885948181152,7.625192165374756,7.8166937828063965
16,15.218920707702637,7.631298065185547,7.58762264251709
17,15.290342330932617,7.612756252288818,7.677585601806641
18,15.188339233398438,7.581584453582764,7.606754302978516
19,15.203401565551758,7.631797790527344,7.571604251861572
20,15.251168251037598,7.595975399017334,7.655192852020264
