epoch,training_loss,s1_loss,s2_loss
1,15.383618354797363,7.675273418426514,7.70834493637085
2,15.447309494018555,7.69398832321167,7.753321170806885
3,15.500911712646484,7.7202887535095215,7.780623435974121
4,15.397011756896973,7.719786643981934,7.677225112915039
5,15.435413360595703,7.698833465576172,7.736579418182373
6,15.346748352050781,7.675888538360596,7.670859336853027
7,15.444926261901855,7.714955806732178,7.729970455169678
8,15.365455627441406,7.67881965637207,7.686635494232178
9,15.422771453857422,7.661091327667236,7.7616801261901855
10,15.476378440856934,7.672542572021484,7.803835868835449
11,15.374439239501953,7.669961452484131,7.704477310180664
12,15.44352912902832,7.699105739593506,7.744422912597656
13,15.360162734985352,7.628409385681152,7.731752872467041
14,15.266982078552246,7.632926940917969,7.634055137634277
15,15.309913635253906,7.634065628051758,7.675848007202148
16,15.354018211364746,7.65116548538208,7.702852725982666
17,15.282600402832031,7.611756324768066,7.670844554901123
18,15.283493995666504,7.629383087158203,7.654110908508301
19,15.179102897644043,7.614635467529297,7.564467430114746
20,15.129104614257812,7.571889400482178,7.557215213775635
21,15.213775634765625,7.592900276184082,7.620875358581543
22,15.202286720275879,7.553119659423828,7.649167060852051
23,15.200956344604492,7.527045249938965,7.673910617828369
24,15.140579223632812,7.514306545257568,7.626273155212402
25,15.153389930725098,7.487421989440918,7.66596794128418
