timestamps,actual_open,actual_high,actual_low,actual_close,actual_volume,predicted_open,predicted_high,predicted_low,predicted_close,absolute_close_error,percentage_close_error,rolling_20_mae,rolling_20_percentage_error
2022-01-13,1141.9194026287705,1150.8645340891296,1136.0993826537385,1148.2828369140625,11856712,1142.5236,1153.9016,1130.0486,1142.0846,6.1982421875,0.5397835784219664,6.1982421875,0.5397835784219664
2022-01-14,1148.146875628832,1162.776052313962,1144.0026230998735,1149.95849609375,19930176,1150.8792,1178.8944,1142.2665,1167.426,17.467529296875,1.518970411211342,11.8328857421875,1.0293769948166542
2022-01-17,1149.5055923237667,1161.734329339856,1149.0526273304495,1155.9595947265625,8036453,1163.8243,1176.0696,1148.5735,1160.9497,4.9901123046875,0.431685703155385,9.551961263020834,0.8301465642628978
2022-01-18,1157.0921041700744,1160.5342073047743,1139.4282640408564,1142.16845703125,6215029,1168.0764,1186.7515,1149.3379,1159.2373,17.06884765625,1.4944247103983008,11.431182861328125,0.9962161007967486
2022-01-19,1145.882379974198,1151.3173615953267,1136.3710722869748,1142.077880859375,9755485,1158.2504,1163.541,1134.81,1142.7188,0.640869140625,0.05611431158641893,9.2731201171875,0.8081957429546828
2022-01-20,1132.3175229917704,1136.8014098425185,1111.913489734347,1122.08154296875,16494486,1142.2374,1150.538,1130.01,1139.5393,17.457763671875,1.5558373436645325,10.637227376302084,0.9328026764063243
2022-01-21,1110.5547274570392,1133.3137934671236,1110.5547274570392,1122.2625732421875,13338594,1140.9463,1145.9589,1122.4412,1131.0002,8.7376708984375,0.7785763427176043,10.365862165178571,0.9107703430222215
2022-01-24,1120.9717499530957,1134.4461715764583,1066.666981959244,1076.9935302734375,21868937,1135.8755,1143.5112,1099.1101,1106.9156,29.922119140625,2.7783007325056155,12.810394287109375,1.1442116417076458
2022-01-25,1064.1532222498897,1081.8623458947789,1043.9757327083191,1074.887451171875,24510205,1103.1876,1131.2896,1092.1561,1113.584,38.696533203125,3.6000544206685885,15.686631944444445,1.417083061592195
2022-01-27,1058.0163123551283,1067.119939925388,1046.7160258148951,1058.9674072265625,20020431,1118.6735,1140.1206,1110.6383,1129.3455,70.3780517578125,6.645912922110865,21.15577392578125,1.9399660476440619
2022-01-28,1071.1508364816766,1076.087568078922,1054.5740661673967,1057.9482421875,14667727,1124.7329,1131.2844,1110.0938,1115.7523,57.8040771484375,5.463790650941211,24.487437855113637,2.2603137388528936
2022-01-31,1068.9768076649402,1089.9016105598887,1067.1650674426833,1080.933837890625,12143683,1109.0824,1115.1,1088.2727,1096.5592,15.6253662109375,1.445543257432798,23.748931884765625,2.1924161987345525
2022-02-01,1090.6263567842825,1096.333045361315,1063.0436492942567,1077.3558349609375,13200509,1098.0605,1108.7363,1094.5198,1102.3751,25.019287109375,2.322286314092515,23.846651517427883,2.202406207608242
