timestamps,actual_open,actual_high,actual_low,actual_close,pred_open,pred_high,pred_low,pred_close,close_error,absolute_error,percentage_error,open_error,high_error,low_error,horizon,rolling_mae,normalized_error
2021-01-01,917.461669921875,921.6151733398438,914.6926879882812,917.23095703125,886.5418,893.45184,827.87915,832.39154,-84.83941650390625,84.83941650390625,9.249515168840489,-30.91986083984375,-28.163330078125,-86.81353759765625,1,,0.09249515168840489
2021-01-04,920.7383422851562,922.4920043945312,908.231689453125,918.7769775390625,825.48987,844.87195,786.3727,802.26044,-116.51654052734375,116.51654052734375,12.681700061687708,-95.24847412109375,-77.62005615234375,-121.8590087890625,2,,0.1268170006168771
2021-01-05,908.6931762695312,915.4310913085938,902.6936645507812,907.3548583984375,802.1806,824.30994,788.75323,808.4158,-98.9390869140625,98.9390869140625,10.904122681251616,-106.5125732421875,-91.12115478515625,-113.9404296875,3,,0.10904122681251616
2021-01-06,907.2625122070312,907.3086547851562,879.2264404296875,883.4260864257812,784.9913,823.30774,751.9988,783.65967,-99.76641845703125,99.76641845703125,11.293125705702474,-122.271240234375,-84.00091552734375,-127.2276611328125,4,,0.11293125705702474
2021-01-07,886.3104248046875,897.6171875,879.2264404296875,881.9954223632812,770.1722,785.2418,748.86646,766.3687,-115.626708984375,115.626708984375,13.10967223328173,-116.13824462890625,-112.3753662109375,-130.3599853515625,5,,0.1310967223328173
2021-01-08,885.1566772460938,894.5712890625,882.433837890625,892.4022216796875,759.8278,763.4893,756.8997,755.92004,-136.482177734375,136.482177734375,15.293796274676122,-125.328857421875,-131.08197021484375,-125.53411865234375,6,,0.15293796274676122
2021-01-11,894.755859375,894.755859375,873.388427734375,875.58056640625,767.9188,767.18317,754.79486,755.4663,-120.1142578125,120.1142578125,13.71824163543274,-126.8370361328125,-127.57269287109375,-118.59356689453125,7,,0.1371824163543274
2021-01-12,878.2341918945312,904.5396728515625,876.8035278320312,903.1782836914062,759.9966,775.71106,746.0608,759.93805,-143.240234375,143.240234375,15.85957467772129,-118.23760986328125,-128.82861328125,-130.74273681640625,8,,0.1585957467772129
2021-01-13,906.177978515625,911.4390869140625,885.3643798828125,894.755859375,743.7992,733.22375,720.75684,717.0248,-177.7310791015625,177.7310791015625,19.863639588312978,-162.3787841796875,-178.21533203125,-164.6075439453125,9,,0.19863639588312978
2021-01-14,897.6171875,907.7240600585938,894.8712768554688,904.8165893554688,714.5831,766.65656,704.20447,757.6079,-147.20867919921875,147.20867919921875,16.269449624490246,-183.0340576171875,-141.0675048828125,-190.66680908203125,10,,0.16269449624490245
2021-01-15,904.8165893554688,910.9083862304688,886.102783203125,894.1328735351562,753.2141,751.4273,715.13367,720.98,-173.15289306640625,173.15289306640625,19.365454306786326,-151.60247802734375,-159.4810791015625,-170.9691162109375,11,,0.19365454306786326
2021-01-18,899.5093383789062,921.6151733398438,887.625732421875,915.5925903320312,727.7899,744.91364,723.8556,733.31824,-182.27435302734375,182.27435302734375,19.90780123736515,-171.71942138671875,-176.7015380859375,-163.7701416015625,12,,0.1990780123736515
