timestamps,actual_open,actual_high,actual_low,actual_close,pred_open,pred_high,pred_low,pred_close,close_error,absolute_error,percentage_error,open_error,high_error,low_error,horizon,rolling_mae,normalized_error
2021-01-01,917.461669921875,921.6151733398438,914.6926879882812,917.23095703125,886.7555,896.86035,879.01526,890.63513,-26.5958251953125,26.5958251953125,2.8995777989650193,-30.7061767578125,-24.75482177734375,-35.67742919921875,1,,0.028995777989650192
2021-01-04,920.7383422851562,922.4920043945312,908.231689453125,918.7769775390625,879.2982,885.8412,844.0168,851.50964,-67.267333984375,67.267333984375,7.321399602823099,-41.44012451171875,-36.65081787109375,-64.21490478515625,2,,0.07321399602823099
2021-01-05,908.6931762695312,915.4310913085938,902.6936645507812,907.3548583984375,853.9262,862.4841,845.07007,854.2335,-53.121337890625,53.121337890625,5.854527299758875,-54.7669677734375,-52.947021484375,-57.62359619140625,3,,0.05854527299758874
2021-01-06,907.2625122070312,907.3086547851562,879.2264404296875,883.4260864257812,863.05884,871.64874,834.8033,838.2508,-45.17529296875,45.17529296875,5.113647158815848,-44.20367431640625,-35.659912109375,-44.42315673828125,4,,0.051136471588158476
2021-01-07,886.3104248046875,897.6171875,879.2264404296875,881.9954223632812,837.7398,836.81177,824.19464,822.7909,-59.20452880859375,59.20452880859375,6.7125664496032105,-48.57061767578125,-60.805419921875,-55.03179931640625,5,,0.0671256644960321
2021-01-08,885.1566772460938,894.5712890625,882.433837890625,892.4022216796875,827.12054,861.28925,823.1448,846.01624,-46.385986328125,46.385986328125,5.197878848936176,-58.0361328125,-33.28204345703125,-59.2890625,6,,0.05197878848936176
2021-01-11,894.755859375,894.755859375,873.388427734375,875.58056640625,837.0158,836.901,811.49005,816.4408,-59.1397705078125,59.1397705078125,6.754349374215433,-57.74005126953125,-57.8548583984375,-61.89837646484375,7,,0.06754349374215433
2021-01-12,878.2341918945312,904.5396728515625,876.8035278320312,903.1782836914062,826.0672,827.29376,800.0259,804.8943,-98.28399658203125,98.28399658203125,10.882015030336188,-52.1669921875,-77.24591064453125,-76.77764892578125,8,,0.10882015030336188
2021-01-13,906.177978515625,911.4390869140625,885.3643798828125,894.755859375,814.3301,858.28723,786.1838,782.0131,-112.74273681640625,112.74273681640625,12.600391004442116,-91.847900390625,-53.15185546875,-99.18060302734375,9,,0.12600391004442116
2021-01-14,897.6171875,907.7240600585938,894.8712768554688,904.8165893554688,788.38995,801.15216,776.1917,788.4007,-116.4158935546875,116.4158935546875,12.866242167113057,-109.22723388671875,-106.5718994140625,-118.6795654296875,10,,0.12866242167113057
2021-01-15,904.8165893554688,910.9083862304688,886.102783203125,894.1328735351562,792.5601,816.7306,788.78625,811.0182,-83.11468505859375,83.11468505859375,9.295563055408204,-112.2564697265625,-94.17779541015625,-97.3165283203125,11,,0.09295563055408204
2021-01-18,899.5093383789062,921.6151733398438,887.625732421875,915.5925903320312,812.68604,816.8336,796.7132,803.00793,-112.58465576171875,112.58465576171875,12.296370345340057,-86.82330322265625,-104.78155517578125,-90.91253662109375,12,,0.12296370345340056
2021-01-19,920.5306396484375,937.30615234375,920.5306396484375,930.5682983398438,794.5482,814.17377,785.79205,801.4694,-129.098876953125,129.098876953125,13.873122175281546,-125.982421875,-123.13238525390625,-134.73858642578125,13,,0.13873122175281546
