timestamp,pred_open,pred_high,pred_low,pred_close,pred_volume,amount,actual_open,actual_high,actual_low,actual_close,close_error,absolute_error,squared_error
2023-01-02,18212.162,18482.33,18274.438,18226.531,253307.08,4.439395e+09,18131.69921875,18215.150390625,18086.5,18197.44921875,29.08203125,29.08203125,845.7645416259766
2023-01-03,18296.736,18421.592,18264.602,18370.373,259365.4,4.5193354e+09,18163.19921875,18251.94921875,18149.80078125,18232.55078125,137.822265625,137.822265625,18994.976902008057
2023-01-04,18238.527,18249.484,18163.738,18234.725,240655.4,4.2314537e+09,18230.650390625,18243.0,18020.599609375,18042.94921875,191.775390625,191.775390625,36777.80044937134
2023-01-05,18165.102,18286.69,18178.225,18345.395,254624.48,4.4658514e+09,18101.94921875,18120.30078125,17892.599609375,17992.150390625,353.244140625,353.244140625,124781.42288589478
2023-01-06,18236.22,18387.232,18190.605,18156.107,304765.34,5.415127e+09,18008.05078125,18047.400390625,17795.55078125,17859.44921875,296.658203125,296.658203125,88006.08948135376
2023-01-09,17999.271,17976.117,17659.348,17800.664,280168.44,4.9045274e+09,17952.55078125,18141.400390625,17936.150390625,18101.19921875,-300.53515625,300.53515625,90321.38014221191
2023-01-10,17632.059,17705.05,17428.97,17633.37,297083.12,5.148222e+09,18121.30078125,18127.599609375,17856.0,17914.150390625,-280.78125,280.78125,78838.1103515625
2023-01-11,17510.113,17733.316,17420.377,17732.684,330524.22,5.6807895e+09,17924.25,17976.349609375,17824.349609375,17895.69921875,-163.015625,163.015625,26574.093994140625
2023-01-12,17736.465,18205.51,17796.86,17913.908,271540.06,4.7299077e+09,17920.849609375,17945.80078125,17761.650390625,17858.19921875,55.708984375,55.708984375,3103.490940093994
2023-01-13,17707.666,18192.852,17532.0,17615.22,291340.53,5.0888366e+09,17867.5,17999.349609375,17774.25,17956.599609375,-341.37890625,341.37890625,116539.55763244629
2023-01-16,17554.168,17523.152,17634.1,17646.756,270932.1,4.688541e+09,18033.150390625,18049.650390625,17853.650390625,17894.849609375,-248.09375,248.09375,61550.5087890625
2023-01-17,17689.932,18155.924,17838.564,18173.926,276801.75,4.7892454e+09,17922.80078125,18072.05078125,17886.94921875,18053.30078125,120.625,120.625,14550.390625
2023-01-18,18164.97,18463.594,17986.521,17860.822,271486.1,4.722214e+09,18074.30078125,18183.75,18032.44921875,18165.349609375,-304.52734375,304.52734375,92736.90309143066
2023-01-19,17855.3,17559.102,17719.68,17608.875,254212.38,4.4160676e+09,18119.80078125,18155.19921875,18063.75,18107.849609375,-498.974609375,498.974609375,248975.66080093384
2023-01-20,17381.678,17888.77,17516.887,17328.814,276409.72,4.8333706e+09,18115.599609375,18145.44921875,18016.19921875,18027.650390625,-698.8359375,698.8359375,488371.6675415039
2023-01-23,17429.787,17519.547,17220.52,17231.969,331694.78,5.698658e+09,18118.44921875,18162.599609375,18063.44921875,18118.55078125,-886.58203125,886.58203125,786027.698135376
2023-01-24,17272.635,17529.434,17428.654,17671.178,282373.28,4.8759977e+09,18183.94921875,18201.25,18078.650390625,18118.30078125,-447.123046875,447.123046875,199919.01904678345
2023-01-25,17560.535,17452.867,17351.736,17294.01,283037.4,4.900533e+09,18093.349609375,18100.599609375,17846.150390625,17891.94921875,-597.939453125,597.939453125,357531.5896034241
2023-01-27,17362.59,17618.867,17405.61,17726.158,299866.9,5.124513e+09,17877.19921875,17884.75,17493.55078125,17604.349609375,121.80859375,121.80859375,14837.333511352539
2023-01-30,17627.076,17539.51,17620.627,17546.89,253410.23,4.415653e+09,17541.94921875,17709.150390625,17405.55078125,17648.94921875,-102.05859375,102.05859375,10415.956558227539
2023-01-31,17411.885,17387.604,17224.309,17390.816,251508.05,4.3731185e+09,17731.44921875,17735.69921875,17537.55078125,17662.150390625,-271.333984375,271.333984375,73622.13107681274
2023-02-01,17072.889,17572.545,17085.838,17219.701,256807.5,4.460755e+09,17811.599609375,17972.19921875,17353.400390625,17616.30078125,-396.599609375,396.599609375,157291.2501564026
2023-02-02,17136.893,17141.477,17132.447,17170.248,240878.78,4.1660032e+09,17517.099609375,17653.900390625,17445.94921875,17610.400390625,-440.15234375,440.15234375,193734.08570861816
2023-02-03,16993.846,17155.195,16853.004,17195.293,213442.03,3.6931533e+09,17721.75,17870.30078125,17584.19921875,17854.05078125,-658.7578125,658.7578125,433961.85552978516
2023-02-06,17039.19,17064.6,17021.293,17045.932,277599.9,4.6714906e+09,17818.55078125,17823.69921875,17698.349609375,17764.599609375,-718.66796875,718.66796875,516483.649307251
2023-02-07,17134.1,17232.96,17137.299,17252.973,253778.48,4.3477233e+09,17790.099609375,17811.150390625,17652.55078125,17721.5,-468.52734375,468.52734375,219517.87184143066
2023-02-08,17323.062,17457.812,17361.65,17502.062,256687.16,4.419723e+09,17750.30078125,17898.69921875,17744.150390625,17871.69921875,-369.63671875,369.63671875,136631.3038482666
2023-02-09,17509.56,17631.826,17497.63,17693.332,293330.12,5.026008e+09,17885.5,17916.900390625,17779.80078125,17893.44921875,-200.1171875,200.1171875,40046.888732910156
2023-02-10,17646.898,17732.219,17672.434,17810.426,280669.5,4.8464195e+09,17847.55078125,17876.94921875,17801.0,17856.5,-46.07421875,46.07421875,2122.8336334228516
2023-02-13,17743.717,17669.732,17551.645,17570.996,253437.84,4.383518e+09,17859.099609375,17880.69921875,17719.75,17770.900390625,-199.904296875,199.904296875,39961.727909088135
2023-02-14,17683.764,17723.783,17738.771,17715.951,215885.28,3.7628308e+09,17840.349609375,17954.55078125,17800.05078125,17929.849609375,-213.8984375,213.8984375,45752.541564941406
